IncidentDetailSummary,Source,Subject
reporta que su monitor no enciende,Teléfono,reporta que su monitor no enciende
"asesoria en el evento multifirma auditoria 123

Hospital Regional Ciudad Victoria Tamaulipas

telefono 8341536100

Javier Hernandez Perez",Teléfono,asesoria en el evento multifirma auditoria 123
"firma resultados finales en buzon digital el usuario no podia firma ya que le manda una pantalla de object move to here

auditoria 99

Colegio de Michoacan

telefono 3515157100 ext 1820

Mario Albetto Hernandez",Teléfono,firma resultados finales en buzon digital
"Problemas de acceso a livelink

No se ha podido conectar al servidor

Es posible que el servidor Livelink estÃ© inactivo o configurado incorrectamente.
IntÃ©ntelo de nuevo. Si el problema persiste, pÃ³ngase en contacto con el administrador de Livelink.
No se ha podido conectar al servidor localhost[127.0.0.1]:2099.",Teléfono,Problemas de acceso a livelink
Revisión mouse equipo 54683,Correo-e,Revisión mouse equipo 54683
Instalación Adobe Pro equipo 58554,Ventanilla,Instalación Adobe Pro equipo  58554
"Problemas con contraseña del usuario ""Roberto Martinez Ayala"" en su equipo de cómputo con Inv. 55010 .",Ventanilla,Problemas con contraseña.
"reporta que extensión está fallando, no salen llamadas telefónicas

piso 12, del lado de la UPN

módulo: 12-070

mac: 0059DC5A926D

INV: 49626

se acudio a sitio y persiste problema

se adjuntan imágenes de CISCO",Teléfono,"reporta que extensión está fallando, no salen llamadas telefónicas"
"Transferencia de licencia de Adobe Pro

De:Arantxa Ximena Quezadas Muñoz

A:Jessica Joseline Bautista Rodriguez.",Correo-e,Transferencia de licencia de Adobe Pro
"Transferencia de licencia de Adobe Pro

De:Cindy Elizabeth Carcamo Gúzman

A:Sandra Sanchez Martínez",Correo-e,Transferencia de licencia de Adobe Pro
Instalación de Adobe Pro equipo 56746 a nombre de Edgardo Acosta Vergara,Ventanilla,Instalación de  Adobe Pro equipo 56746 a nombre de Edgardo Acosta Vergara
Reporta que en el equipo de Yail Susej al estar realizando un oficio le muestra letras y caracteres raros que no sabe como quitar,Teléfono,en oficio muestra caracteres raros
reporta que no tiene red en su equipo de cómputo,Ventanilla,reporta que no tiene red
Reporta no poder iniciar sesión en pantalla de encriptado,Ventanilla,Reporta no poder iniciar sesión en pantalla de encriptado
Equipo con número de inventario 54775 presenta error de pantalla azul con la leyenda El dispositivo tuvo un problema y necesita reiniciarse,Correo-e,Pantallazo azul.
Problema para generar archivos WORD en SICSA en el equipo con número de inventario 54701.,Correo-e,Problema para generar archivos en SICSA
Instalación antivirus equipo de escritorio 52106,Correo-e,Instalación antivirus equipo  de escritorio 52106
"Reporta equipo de escritorio, no enciende",Ventanilla,"Reporta equipo de escritorio, no enciende"
"Problemas de bloqueo para ingresar a ligas para descarga de factura

pdf y xml

[Descagar XML](https://smex-ctp.trendmicro.com:443/wis/clicktime/v1/query?url=https%3a%2f%2f%2fpdfcfdi4%5f.php%3fuuid%3d17a08747%2d6d47%2d419f%2d83ee%2df5fff6e011f6%26nombreFile%3dS1234%5f17a08747%2d6d47%2d419f%2d83ee%2df5fff6e011f6&amp;umid=852aa6bf-ad6b-4e2c-a4fb-c0ebe724770a&amp;auth=d7056d298d3590ea7762398b724c0d0e6bbc68a4-9af0a8ddcd4772eff1b63dec503bacdb0b7ee149)

[Descagar PDF](https://smex-ctp.trendmicro.com:443/wis/clicktime/v1/query?url=https%3a%2f%2f%2fpdfcfdi4%5f.php%3furl%5fpdf%3dhttp%3a%2f%2fammon.operam.one%2fapi%2fcfdi%2fpdf%2f17a08747%2d6d47%2d419f%2d83ee%2df5fff6e011f6%26nombreFile%3dS1234%5f17a08747%2d6d47%2d419f%2d83ee%2df5fff6e011f6&amp;umid=852aa6bf-ad6b-4e2c-a4fb-c0ebe724770a&amp;auth=d7056d298d3590ea7762398b724c0d0e6bbc68a4-44e089adc28cedb3623ad71b2421629bb0f0ef58)

en correo se muestran ligas y pantalla de bloqueo",Correo-e,Problemas de bloqueo para ingresar a ligas para descarga de factura
"Por medio del presente, informo que los viáticos correspondiente a la comisión a Mexicali y Hermosillo, no se encuentra cargado en el sistema de comprobación de viáticos, como se puede ver en la siguiente imagen:",Correo-e,"los viáticos correspondiente a la comisión a Mexicali y Hermosillo, no se encuentra cargado"
"- los usuarios de honorarios de la DGR 62000, no pueden visualizar la lista de cajas en la pestaña préstamo.

- El sistema empieza alentarse por lapsos.

- Varios usuarios al realizar el proceso de préstamo les aparece el siguiente mensaje de error, sin embargo, al darle aceptar si se realiza la solicitud.",Correo-e,fallas en el SAGD manda error al guardar los datos
Problemas con el almacenamiento de información en el equipo 58185,Correo-e,Problemas con el almacenamiento de información en el equipo 58185
"reporta que extensión está fallando, no salen llamadas telefónicas

piso 12, del lado de la UPN

módulo: 12-070

mac: 0059DC5A926D

INV: 49626",Teléfono,Falla en llamadas
"Antes de salir de vacaciones se nos mando una liga para un ambiente más productivo y funcional (http://archivos:2132/SIA/AdminExpediente.aspx), hasta el momento el problema que tenemos con la nueva liga es que los usuarios no pueden entrar a la pestaña de reimpresión para poder imprimir los vales. La página se queda cargando y ya no responde",Correo-e,problemas con la liga Sistema de archivo de trámite
Derrame de líquido en el equipo con número de inventario 54513.,Correo-e,Derrame de líquido.
Revisar nodo de red que presenta fallas se desconecta,Correo-e,Revisar nodo de red que presenta fallas se desconecta
teams y outlook no funcionan en su equipo,Teléfono,teams y outlook no funcionan en su equipo
No se puede iniciar Microsoft 365 y office equipo 58572,Ventanilla,No se puede iniciar Microsoft 365 y office equipo 58572
"Problemas conexión red

Error al volver a conectar S: a \\SIA\ASF",Correo-e,Problemas conexión red
Presenta problemas no tiene acceso a internet,Ventanilla,Presenta problemas no tiene acceso a internet
"Usuario solicita apoyo para la actualizacion de Java, ya qu eno le permiti abrir el acceso a un archivo .jar.",Teléfono,apoyo con Java
"Reporta falla en Telefono CISCO, no enciende",Teléfono,Reporta falla en Telefono CISCO
outlook no abre en equipo de Maria Sara MArtinez,Teléfono,outlook no abre
"Problemas con contraseña del usuario ""Gustavo Salado Anaya"" en su equipo de cómputo con Inv. 54643 .",Ventanilla,Problemas con contraseña
"Problemas con error en impresora al colocar toner

PB

RECEPCIÓN",Teléfono,Problemas con error en impresora al colocar toner
Reporta solicitud de PIN en pantalla de cifrado,Ventanilla,Reporta solicitud de PIN en pantalla de cifrado
El equipo no enciende,Teléfono,Equipo no enciende
"problemas con conexión de cisco

no tiene señal

PISO 8

ALA NORTE A

DESARROLLO SOCIAL

MARISELA MARQUEZ URIBE",Ventanilla,problemas con conexión de cisco
"Problemas con contraseña de la usuaria ""Leticia Herrera Sánchez"" en su equipo de cómputo con Inv. 47459 .",Ventanilla,Problemas con contraseña
Reporta solicitud de escaneo de QR para ingresar a OneDrive,Teléfono,Reporta solicitud de escaneo de QR para ingresar a OneDrive
Problemas con conexión remota a equipo por VPN,Teléfono,Problemas con conexión remota a equipo por VPN
"Por medio del presente, solicito su amable apoyo toda vez que al revisar archivos que se encuentran en la carpeta compartida denominada SIA, tarda mucho en abrir un archivo en formato PDF, de igual forma se traba el programa al pasar las hojas dentro del mismo archivo; dicha situación se ha presentado desde meses anteriores, por lo anterior, me podrían brindar apoyo por favor.",Correo-e,se traba al abrir archivos pdf
Problemas con conexión a GlobalProtect. en el equipo con número de inventario 57771.,Ventanilla,Problemas con conexión a globalProtect
Problemas con conexión a GlobalProtect. en el equipo con número de inventario 57740.,Ventanilla,Problemas con conexión a globalProtect
Falla para ingresar a la Encuesta del Clima Organizacional,Teléfono,Tengo que hacer la Encuesta del Clima Organizacional y no puedo entrar
Por medio del presente se solicita su apoyo en razón de que el sistema para solicitar expedientes al archivo no responde y me urge sacar la caja DGR/C/264,Correo-e,Se reporta que el sistema para solicitar expedientes esta muy lento
Problemas con contraseña,Ventanilla,Problemas con contraseña
Reporta lentitud en su equipo,Teléfono,Reporta lentitud en su equipo
Reporta que no hay Livelink,Correo-e,Reporta que no hay Livelink
Reportan problemas con Livelink (Coyoacán),Teléfono,Reportan problemas con Livelink
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema Live Link, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas",Correo-e,no hay livelink
Personal de seguridad reporta falla en conexión a la red WRLS_ASF,Ventanilla,Personal de seguridad reporta falla en conexión a la red WRLS_ASF
"El día de hoy requería generar vales de préstamo y consulta de las siguientes cajas: 586, 20, 272 y 286, desafortunadamente el sistema no me arrojo el listado de cajas por lo que se me hizo imposible obtener los vales.

Por lo que amablemente solicito me puedan apoyar con alguna solución o alguna otra opción para realizar mi solicitud.",Correo-e,archivo de tramite el sistema no arroja el listado de cajas
"Buenas noches, siento la molestia, pero continuo con el mismo problema.

He estado reiniciando mi equipo, pero solamente son unos instantes en que no me solicita credenciales. Agradezco su gentil apoyo para lograr solventarlo, por favor.",Correo-e,Solicitud de apoyo
No le pemite ingresar a la Banca Electrónica,Teléfono,No le pemite ingresar a la Banca Electrónica
pide credenciales al entrar a la intranet,Correo-e,pide credenciales al entrar a la intranet
no ingresa a la intranet manda error,Correo-e,no ingresa a la intranet manda error
"Se reporta que personal interno no puede acceder a evento de Multifirma

Consecutivo del evento: 55000-0010-2023

RFC: CACX920524R99

Nombre: José Antonio Camacho Cabrera

Puesto: Coordinador A de la Dirección de Atención a Entes Fiscalizadores de Recursos Federales del Gobierno del Estado de Jalisco

Entidad: Gobierno del Estado de Jalisco",Correo-e,Se reporta que personal interno no puede acceder a evento de Multifirma
No puede ingresar a una página de amazón,Teléfono,No puede ingresar a una página de amazón
"Senasica
reportan que Jose Gustavo Torres Martinez y Maria Fabiola Olvera Rios no pueden entrar a firmar ya que al ingresar a buzon les manda un error de Object move to here

Telefono 5559051000
Reporta Abraham Gonzalez

Evento 34000-02302023
listado de firmantes en en acta de presentacion de resultados finales
auditoria 372

se les pide el listado de firmantes

1 Tomas rojas jimenez ASF
2 Tizoc Villalobos Ruiz ASf
3 Guillermo Garcia Quevedo ASF
4 Jose Fernando Rivero Novella ASF
5 Oscar Ramierz Hernandez ASF
6 Carolina Lopez Perez ASF
7 Jose Gustavo Torres Martinez senasica
8 Maria Fabiola Olvera Rios senasica
9 Eduardo Reyes Gomez organo de control

se les pide que reinstalen el chrome",Teléfono,auditoria 372 Senasica  al ingresasr a buzon digital marca error de object move to here
"Buen día, por medio del presente solicito sea usted tan amable de apoyarme habilitando los permisos correspondientes para poder realizar la Encuesta de Clima Organizacional, toda vez que al abrir la página en Google Chrome me arroja una leyenda que me impide poder contestarla.",Correo-e,la encuesta de clima organizacional no la abre
"Solicito su valioso apoyo para revisar el funcionamiento de mi equipo, ya que no me permite responder a la Encuesta de Clima Organizacional.",Correo-e,no puede ingresar a la encuesta
Su equipo no permite guardar documentación,Correo-e,Su equipo no permite guardar documentación
Problemas con contraseña equipo 51901,Ventanilla,Problemas con contraseña equipo 51901
"Problemas con Outlook, no puede enviar un correo.",Teléfono,Problemas con Outlook
Equipo 51580 falla en teclado a nombre de Patricia Salinas Sánchez,Correo-e,Equipo 51580 falla en teclado
Problemas inicio de sesión,Teléfono,Problemas inicio de sesión
Se solicita su apoyo para revisar el equipo 57792 ya que se quedó trabado.,Ventanilla,Equipo Bloqueado
Asesoría en navegación de páginas de Google,Teléfono,Asesoría en navegación de páginas de Google
Equipo con número de inventario 51580 tiene tecla de CTRL dañad.,Correo-e,tecla de CTRL  dañada.
Equipo con número de inventario 54362 vibra constantemente y se escucha un ruido.,Correo-e,Equipo vibra constantemente.
"Problemas con el ventilador del equipo con número de inventario 51606, ya que por momentos suena muy fuerte el ventilador.",Correo-e,Problemas con el ventilador.
Problemas con la contraseña equipo 54983,Ventanilla,Problemas con la contraseña equipo 54983
"Reporte de Sistema de Archivo de Trámite

Hago de su conocimiento que he intentado generar vale de préstamo para la caja DGR/C/472, sin éxito ya que el sistema es lento y no muestra la lista de cajas para continuar con la solicitud",Correo-e,Reporte de Sistema de Archivo de Trámite
"Con el gusto de saludarlos, me permito adjuntar los reportes suscitados el día de hoy referente al Módulo Archivo de Trámite, con la finalidad de que la nueva ruta de acceso http://archivos:2132/SIA/AdminExpediente.aspx, permita revisar los procesos en el DAT, para que una vez revisados este nuevo link sea enviado a los usuarios de toda la ASF para su operación.",Correo-e,fallas en el SAGD
"me permito reportar que el sistema del archivo de tramite se encuentra muy lento por lo que respecta a la pestaña de reimpresión, llevo aproximadamente 40 minutos intentando imprimir mis vales de consulta.",Correo-e,sistema de archivo de tramite lento
el sistema para solicitar expedientes al archivo no responde,Correo-e,Se reporta que el sistema para solicitar expedientes esta muy lento
Revisión correo electrónico,Teléfono,Revisión correo electrónico
"Buen día, al querer generar número de EPRA de la siguiente acción:

- 2017-A-04000-15-0643-06-003

Se presenta el siguiente error:",Correo-e,al generar numero de EPRA manda error
Equipo con número de inventario 56793 muestra error de pantalla azul.,Correo-e,Pantalla azul.
"Por medio del presente solicito su apoyo en virtud de que el acceso al sistema para solicitar expedientes al archivo de trámite ha presentado fallas continuas en los últimos días.

En ocasiones tarda hasta una o dos horas en cargar la pagina y al momento de solicitar la reimpresión aparece un mensaje señalado un error.

Adjunto captura de pantalla para su pronta referencia.",Correo-e,falla en archivo de tramite para solicitar expedientes
reporta que no hay livelink,Teléfono,reporta que no hay livelink
"Por medio del presente correo quisiera reportar que el Sistema del Archivo de Trámite se encuentra muy lento.

La problemática radica en que llevo toda la mañana intentando generar un vale de consulta sin lograrlo hasta el momento, anexo pantallazo de la página que se queda cargando",Correo-e,archivo de tramite lento
"problemas de acceso a Página https://www.asfdatos.gob.mx

del edificio B, PISO 2

Son 3 usuarios, sus nombres son:

- Anahi Javier Laureano
- Maria del Carmen Gonzalez Colin
- Grisela Martínez Silva.

El problema es tanto por red inalámbrica como red local",Teléfono,problemas de acceso a página asfdatos
"Por medio del presente, me permito solicitar de su amable atención para el efecto de realizar las acciones conducentes para el correcto funcionamiento del sistema de préstamos de expedientes correspondientes al archivo de trámite; ello toda vez que el mismo tiene varias semanas presentando fallas que impiden el correcto funcionamiento de emisión de vales de préstamo.

En este sentido me permito compartir la captura de pantalla de la irregularidad presentada, misma que consiste en el bloqueo del sistema, lo cual no permite proseguir con la solicitud intentada.",Correo-e,Problema sistema de solicitud de préstamos de expedientes.
"Hago de sus conocimiento que he intentado generar vales para préstamo de las cajas DGR/C/13, DGR/C/485 y DGR/C/649, sin éxito ya que el sistema es lento y no muestra las cajas para continuar con la solicitud, como a continuación se muestra:",Correo-e,no se pueden generar vales de prestamo en archivo de tramite
"A través del presente, solicito se atienda la parte del sistema de archivo de trámite, en la que se queda leyendo el sistema y no permite avanzar para la elaboración de vales, se tarda demasiado",Correo-e,archivo de tramite lento
Intermitenia en Livelink,Correo-e,Intermitencia en Livelink
"Para reportar que la pagina para préstamo de expediente esta muy lenta el dia de hoy, llevo mas de media hora y no puedo ingresar",Correo-e,Reporte
"Buen día, al querer generar número de EPRA de las siguientes acciones:

- 2017-A-31000-16-1527-06-004
- 2017-A-31000-16-1527-06-005
- 2017-A-31000-16-1527-06-006",Correo-e,error en sicsa
"Acceso al portal de Adm de Expedientes

Solicito apoyo, ya que no puedo acceder a portal del archivo.",Correo-e,Acceso al portal de Adm de Expedientes
Desbloqueo de contraseña,Teléfono,Desbloqueo de contraseña
Reporta incidente en el teclado no sirven varias teclas en el equipo con inventario 56772 del usuario Luis Martin Cervantes Chavez,Ventanilla,Reporta incidente en el teclado  no sirven varias teclas en el equipo con inventario 56772
Se solicita la revisión del equipo 57861 ya que se encuentra el display estrellado. Al recibir el equipo se recibe con raspaduras en las esquinas traseras.,Correo-e,Display estrellado
"El día de hoy me encontraba realizando la carga de expedientes en el archivo de trámite, sin embargo, se quedó cargando y ya no generó la respectiva caratula.

Anexo evidencia.",Correo-e,FALLA AL CARGAR EXPEDIENTES EN EL ARCHIVO DE TRÁMITE
"El motivo del presente es para hacer el reporte correspondiente al sistema del archivo de tramite.
El problema: Las solicitudes se tardan mas de 1 hora en poder generarse, se tarda exageradamente en cargar los datos correspondientes a la pestaña de prestamo, y del mismo modo, en la pestaña de reimpresión (otra media hora); podrian apoyarme con alguna solución? Ya que esto genera retrasos en la solicitud de documentacion.
Anexo capturas de pantalla para pronta referencia.",Correo-e,archivo de tramite
"Problemas de red en equipo

PISO 6

ALA NORTE C

DIFUSIÓN",Teléfono,Problemas de red en equipo
"Buen día, el día de hoy requería generar vales de préstamo y consulta de las siguientes cajas: 271, 272, 7, 13 y 474 y no fue posible generarlos ya que el sistema no me lo permite y es muy lento, y también no aparecen las cajas buscadas",Correo-e,no se pueden generar vales de prestamo
"Por este medio, solicito su apoyo para poder ingresar al Global Protec, no puedo acceder a la conexión.",Correo-e,no se puede conectar al global protect
"Desde hace ya más de un mes, el Sistema de Archivo de Trámite, tarda demasiado, por lo menos en la modalidad de préstamo/ consulta de vales Puede tardar más de tres horas para generar un folio situación que obstaculiza las labores de la Dirección de Investigación",Correo-e,sistema de archivo de trtamite
Se solicita la revisión del equipo 58420 ya que manda error de inicio de sesión de office 365,Ventanilla,Error de inicio de sesión office 365
"Problemas con eliminador, no carga el equipo inv. 56346.",Correo-e,Problemas con eliminador
"Porm medio del presente, me permito solicitar su amable apoyo, con la finalidad de solucionar algunos problemas técnicos que se han presentado con el Sistema de Archivo de Trámite, toda vez que durante los últimos días ha sido imposible solicitar el prestamo de cajas, pues al intentar entrar al apartado prestamos el sistema se ralentiza y no carga el groso de las cajas a fin de llevar a cabo su selección y posterior prestamo",Correo-e,Sistema de Archivo de Tramite
"Mediante la presente comunico que tengo a mi cargo la auditoría 2 Revisión de Proyectos de Infraestructura en la Administración del Sistema Portuario Nacional Lázaro Cárdenas, S.A. de C.V., en el Estado de Michoacán CP 2022, en la cual se generaron 8 carpetas de papeles de trabajo, el 5 de diciembre de 2023 se solicitó su ingreso al archivo de trámite mediante el sistema integral de archivo y se efectuó el llenado del formato generándose inicialmente dos cajas la núm. 869 y la núm. 870 las cuales fueron enviadas para su aprobación de su ingreso al archivo, al respecto me llegó un correo como se muestra a continuación:

Al respecto, al hacer seguimiento correspondiente se visualizó que al Lic. Alejandro Alvarez Tagnori que es la persona que nos apoya aquí en la dirección para la autorización del RAT de la DGAIFF no le llego el aviso para efectuarlo, de igual manera verifique en el sistema si se envio correctamente y no apareció localizada la auditoría, solo las dos cajas y no se podía ya mover nada.

Al día siguiente se volvió a abrir el sistema y se me indicó que volviera a rehacer, sin embargo, al hacerlo se me generaron tres cajas mas, fui a archivo y al abrir mi perfil no les aparecen las cajas solicitadas y al día de hoy sigue mi auditoría sin registro en el sistema, al respecto adjunto abajo capturas de lo que manifiesto:

Pueden apoyarme porfavor y revisar que esta pasando, a fin de que pueda efectuar el tramite de ingreso de mis cajas , ya que también tengo otros expedientes de planeación de CP 2023 para ingresar y me es urgente efectuarlo porque salimos de vacaciones en una semana.",Correo-e,Bienvenido Administración de la Configuración Administración de Requerimientos Administración de Incidentes Administración de Problemas Administración de Cambios Administración de Servicios María Elena's contact picture Hi María Elen
Problemas de red para ingresar al SIA,Ventanilla,Problemas de red para ingresar al SIA
"personal externo del Municipio de Tecolotlán, Jalisco no puede ingresar a evento de Multifirma.",Correo-e,"Solicitud de reporte, problemas"
revision de equipo no enciede,Teléfono,revision de equipo no enciede
Recuperación archivo,Teléfono,Recuperación archivo
"Se solicita la revisión del equipo de escritorio DELL OPTIPLEX 5000 con numero de inventario 56175, debido a que el usuario comenta que la información de la unidad (D) no está completa y las aplicaciones de Windows no están funcionando.",Teléfono,Falla de equipo DELL Optiplex 5000 inventario 56175
Usuario reporta que su equipo se pasmo y que trabaja de manera lenta.,Teléfono,equipo pasmado
Usuario solicita para poder editar un archivo PDF utilizando el programa PDF24.,Teléfono,problemas para editar un PDF
Lentitud y Detalles Presentados en el Módulo Archivo de Trámite,Correo-e,Lentitud y Detalles Presentados en el Módulo Archivo de Trámite
Fallas en el sistema de archivos.,Correo-e,Fallas en el sistema de archivos.
"Problemas con Monitor, no enciende

inv: 58734

monitor se iba a asignar a usuario y al conectarlo, no encendió.

se realizaron pruebas con otra conexión eléctrica y con otro cable de energía y no enciende",Ventanilla,"Problemas con Monitor, no enciende"
Error en el sistema de archivo de trámite,Correo-e,Sistema archivo de trámite
"No puede firmar un testigo Auditoría 372

Angélica María García Aldaiz

Gobierno del Estado de Coahuia de Zaragoza",Correo-e,No puede firmar un testigo Auditoría 372
"Problemas de inicio de sesión

PISO 11

ALA SUR A

DGAFFC",Teléfono,Problemas de inicio de sesión
"solicito su apoyo para la revisión de mi PC de escritorio Marca DELL Modelo Optiplex 5000, con numero de resguardo 56005, ya que a pesar de su anterior revisión y corrección el equipo se queda trabado esto al estar ocupando la aplicación de Photoshop e Illustrator, por lo que me veo forzado a reiniciar el equipo.

Adjunto algunas imágenes de los mensajes de error que me han salido en los últimos días.

Sin más por el momento agradezco tu apoyo y quedo al pendiente.

Me encuentro ubicado en el piso 7, saliendo de los elevadores a mano izquierda, al final del pasillo central que tiene la columna con el botiquín de primeros auxilios.",Correo-e,Problemas de memoria insuficiente en equipo
Problemas conexión a Internet,Teléfono,Problemas conexión a InterNet
Problemas con la contraseña equipo 51291,Ventanilla,Problemas con la contraseña equipo 51291
"Me permito informarle que ethernet (mediante cable azul) de la Mtra. Claudia Bazúa, Auditora Especial de Cumplimiento Financiero, marca que no funciona, por lo que le solicito se revise y corrija, en su caso.

PISO 11

ALA NORTE A",Correo-e,Problemas de red mediante cable Ethernet
Conexión a InterNet Seguros en el Stand ubicado en el piso -1,Teléfono,Conexión a InterNet Seguros en el  Stand-1
Problemas en la impresión de un archivo de incidencia,Teléfono,Problemas en la impresión de un archivo de incidencia
"Equipo con número de inventario 56793 muestra pantalla en negro con un mensaje de error My Screen Saver, por momentos muestra la pantalla en negro y empieza a parpadear y vuelve a funcionar normalmente, pero pasando algunos minutos vuelve a realizar lo mismo.",Correo-e,Pantalla en negro
"POR ESTE MEDIO HAGO EL REPORTE DE LA PLATAFORMA LIVELINK, LA CUAL MUESTRA EL SIGUIENTE ERROR.",Correo-e,no funciona livelink
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema Live Link, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas.",Correo-e,no hay livelink
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema livelink, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas.",Correo-e,no hay livelink
"Por instrucciones del Mtro. Guillermo Dorantes, Secretario Técnico en la DGR, se solicita que por favor se reviseel LIVELINK, no se tiene acceso.",Correo-e,no hay livelink
al abrir los pdf se los cierra en automático,Teléfono,al abrir los pdf se los cierra en automático
Adriana Rodriguez Mirafuentes no se puede conectar al global,Teléfono,Adriana Rodriguez Mirafuentes no se puede conectar al global
Reporta no poder iniciar sesión en Teams y Outlook,Teléfono,Reporta no poder iniciar sesión en Teams y Outlook
"Solicito de su apoyo, no he podido conectarme vía VPN a la red de la oficina del Ajusco, trabajo a distancia y no me he podido conectar, me aparece el siguiente error:",Correo-e,no se puede conectar al global protect
no puede ingresar a la vpn,Teléfono,no puede ingresar a la vpn
"No puede ingresar al Buzón Digital

RFC:VEMM690301HD5",Correo-e,No puede ingresar al Buzón Digital
Usuario solicita apoyo ya que su equipo no se puede conectar a la VPN.,Teléfono,no se puede conectara a la VPN
Usuario solicita apoyo ya que su equipo no se puede conectar a la VPN.,Teléfono,no se puede conectara a la VPN
Usuario solicita apoyo ya que su equipo no se puede conectar a la VPN.,Teléfono,no se puede conectara a la VPN
Reporta falla para establecer conexión en GlobalProtect,Teléfono,Reporta falla para establecer conexión en GlobalProtect
"Leonor Angelica Gonzalez Vazquez lagonzalez@asf.gob.mx, donde reportó el día de ayer que al intentar ingresar con la firma electrónica de la ASF al SICAF, marca el mensaje Se detectaron los siguientes errores - Unknown (ver siguiente imagen):",Correo-e,no puede ingresar a SICAF con la Firma electrónica de la ASF
manda error de No encontró al usuario registrado con el RFC proporcionado,Correo-e,No encontró al usuario registrado con el RFC proporcionado
Requiere recuperar información en su equipo de computo,Teléfono,Requiere recuperar información en su equipo de computo
monitor 56080 no enciende,Ventanilla,monitor 56080 no enciende
reporta que no puede bajar el brillo del monitor,Teléfono,reporta que no puede bajar el brillo del monitor
No puede ingresar a Multifirma Leonor Angélica González Vázquez,Correo-e,No puede ingresar a Multifirma Leonor Angélica González Vázquez
No puede ingresar a Multifirma Hernán Flores Díaz,Correo-e,No puede ingresar a Multifirma Hernán Flores Díaz
"Me permito solicitar su apoyo a fin de revisar el cargador del equipo de cómputo portátil con inventario 51261 bajo mi resguardo, esto debido a que al parecer tiene un falso contacto y ni carga correctamente, cabe aclarar que el equipo ya se probó con otro cargador y no tuvo problemas.",Correo-e,revision de cargador
"solicito amablemente su apoyo ya que la Unidad C de mi equipo de cómputo de Laptop con número de inventario 58181 se ha llenado. Lo anterior, dificulta todas las tareas que tengo que desarrollar ya que empieza presentar fallas para guardar archivos de las aplicaciones de Office (Excel, Word, PPT).",Correo-e,ESPACIO EN UNIDAD C
Error en SICSA en equipo 44846,Correo-e,Error en SICSA en equipo 44846
reporta que el plotter tiene problemas de impresion,Teléfono,reporta que el plotter tiene problemas de impresion
No puede ingresar a evento multifirma Erick Silva Barradas,Correo-e,No puede ingresar a evento multifirma Erick Silva Barradas
No puede ingresar a Multifirma usuario Juan Manuel Enciso Aranda,Correo-e,No puede ingresar a Multifirma usuario Juan Manuel Enciso Aranda
Problemas con el password equipo 54676 a nombre de José Alberto Gómez Mendoza,Ventanilla,Problemas con el password equipo 54676 a nombre de José Alberto Gómez Mendoza
"Problemas con monitor, no se puede proyectar pantalla del equipo laptop.",Teléfono,Problemas con monitor
Problemas Conexión a Internet,Teléfono,Problemas conexión a InterNet
Teclado presenta la base rota de una tecla en el equipo con inventario 57045,Teléfono,Teclado presenta la base rota de una tecla en el equipo con inventario 57045
"Respecto a la carga de información referente a la acción 2017-0-08100-12-0311-06-001, se advierte que se ingresó de forma errónea la fecha de acuse, observándose que se colocó 23-11-2023, siendo la correcta 28-11-2023.",Correo-e,solicitud carga DGI fecha erronea
"Problemas de encendido en equipo

planta baja

oficina de servicio social y becarios a un costado de sala de evaluación de Recursos Humanos

por salida de emergencia",Teléfono,Problemas de encendido en equipo
Problemas para conectarse a Internet equipo 54439,Correo-e,Problemas para conectarse a Internet equipo  54439
"Por este medio solicito su apoyo a efecto de poder acceder al campus virtual de capacitación, ya que al acceder me requiere el código de autenticación de Microsoft y aún y cuando lo ingreso me lleva a la pantalla siguiente en la cual pide proteger mi cuanta, pero después ya no deja autenticar, toda vez que aparece un mensaje como el que se muestra más abajo.",Correo-e,problemas para acceder a campus virtual capacitacion
Usuario reporta que no puede antrar a una pagina de Internet https://contadores.tirant.com/ ya que le marca subscripcion caducada.,Teléfono,reporta problemas de acceso a una pagina de internet
Reporta no poder visualizar pagina de asistencia en Intranet,Ventanilla,Reporta no poder visualizar pagina de asistencia en Intranet
"Problems para ingresar al SIA equipo 55106

No se visualizan todas las carpetas Nota aparece un mensaje que indica Sincronización en segundo plano",Ventanilla,Problemas para ingresar al SIA  equipo 55106
Falla en el Equipo del Lic.Hugo Tulio Felix Climaco,Teléfono,Falla en el Equipo del Lic.Hugo Tulio Felix  Climaco
